Scène 2.VIII.,مسرح 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche",سيرانو، بريت، الصغار، اللي قاعدوا على اليمين و على اليسار
et auxquels on sert à boire et à manger.,ويتم تناولهم ويتم شربهم.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,سيرانو (بصيحة عالم يخرجون من دون جريئه يلقوه):
  Messieurs. . .Messieurs. . .Messieurs. . .,سيّدي، سيّدي، سيّدي.
"LE BRET (désolé, redescendant, les bras au ciel):",الروت (مأسفة، عالسطح، ذراعيها في السماء):
  Ah ! dans quels jolis draps.,ايه، بيكيفة منشفة.
CYRANO:,كايرانو:
  Oh ! toi ! tu vas grogner !,أياك، رح تبغغ!
LE BRET:,البريط:
"  Enfin, tu conviendras",أخيرا، رح تبقى على ما يرام
"  Qu'assassiner toujours la chance passagère,",بقتل الحظ المرحلي،
  Devient exagéré.,بيصير مبالغ فيه.
CYRANO:,كايرانو:
"  Hé bien oui, j'exagère !",إيه، إني مبالغ.
LE BRET (triomphant):,البريط (النتصر):
  Ah !,ايه!
CYRANO:,كايرانو:
"  Mais pour le principe, et pour l'exemple aussi,",بس للمبدأ، وبالمثال،
  Je trouve qu'il est bon d'exagérer ainsi.,بعتئد إنو منيح إزداد المبالغ.
LE BRET:,البريط:
"  Si tu laissais un peu ton âme mousquetaire,",لو خليت روحك ميسكي شوية،
  La fortune et la gloire. . .,الغنيمة والجلال . . .
CYRANO:,كايرانو:
  Et que faudrait-il faire ?,شو لازم نفعله؟
"  Chercher un protecteur puissant, prendre un patron,",بدو حامي قوي، بدو عميل،
  Et comme un lierre obscur qui circonvient un tronc,وبيكن كالعصا المظلمة اللي بيطول عالمة
"  Et s'en fait un tuteur en lui léchant l'écorce,",ويحولونها عَلَى مَنْ يَحْفَظُها و يَلْحَسُونَ جِلْدَتَهَا.
  Grimper par ruse au lieu de s'élever par force ?,بتصعد بطرق بدل إرتفاع بضغط؟
"  Non, merci. Dédier, comme tous il le font,",لا، شكراً. إلتخصم، ككل واحد يفعلها،
  Des vers aux financiers ? se changer en bouffon,من الدودة إلى الماليين؟
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",بعتني البشعة بيعرف، عفواً من وزير،
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",إبتلع إبتسامة، بعد كل شيء، اللي ما يكون مخيف؟
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",لا، شكراً، إزاً إطعام الغداء كل يوم؟
  Avoir un ventre usé par la marche ? une peau,إحتمال بطنك متسخ من المشي؟ بشرة
"  Qui plus vite, à l'endroit des genoux, devient sale ?",مين أسرع، من مكان الركبة، يصبح قذر؟
  Exécuter des tours de souplesse dorsale ?. . .,بتعمل دورات مرونة للظهر؟ . . .
"  Non, merci. D'une main flatter la chèvre au cou",لا، شكراً، بيد واحدة بتشليع العنزة عرق
"  Cependant que, de l'autre, on arrose le chou,",بس إذا سبتوا الكولب عالأخر،
"  Et, donneur de séné par désir de rhubarbe,",ويحطم الرضع عشان يطمعوا بيه،
"  Avoir son encensoir, toujours, dans quelque barbe ?",إزايبها في حلاقة؟
"  Non, merci ! Se pousser de giron en giron,",لا، شكراً، إضربوا من إزرار إلى إزرار،
"  Devenir un petit grand homme dans un rond,",بتصبح رجلاً كبير صغير في جولة،
"  Et naviguer, avec des madrigaux pour rames,",ويتسيرون بمنشآت ماديري،
  Et dans ses voiles des soupirs de vieilles dames ?,و في سفحاتها نغمات من السن؟
"  Non, merci ! Chez le bon éditeur de Sercy",لا، شكراً، عالحاكم الصحيح بسيرسي
"  Faire éditer ses vers en payant ? Non, merci !",بتحريصو ورمها بالدفع؟
  S'aller faire nommer pape par les conciles,رح يُعَيّن بوب من المجلس
  Que dans des cabarets tiennent des imbéciles ?,عالأحمق اللي فيو فيو فيو؟
"  Non, merci ! Travailler à se construire un nom",لا، شكراً، عمعمل على بناء إسم
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",عالمصوت واحد عما عالمصوتين؟
  Merci ! Ne découvrir du talent qu'aux mazettes ?,شكراً، إكتشف الموهبة بس في الملاعين؟
"  Être terrorisé par de vagues gazettes,",بتخويف من الجرائد الموجية،
"  Et se dire sans cesse: Oh, pourvu que je sois","و بيقولوا دائماً: ""أوه، إزا كنت"
  Dans les petits papiers du Mercure François ?. . .,في ورق ميركور فرانسيس؟ . . .
"  Non, merci ! Calculer, avoir peur, être blême,",لا، شكراً، إحساب، خوف، إحساس بالضوء،
"  Aimer mieux faire une visite qu'un poème,",حبيت زيارتك أكثر من قصيدة
"  Rédiger des placets, se faire présenter ?",بنكتب كتيبات، بنقدم؟
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",لا، شكراً، لا، شكراً، لا، شكراً، بس. . .
"  Rêver, rire, passer, être seul, être libre,",حلم، ضحك، تمر، كون وحدي، كون حر،
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",عيونك تراه بسهولة، صوتك تترع
"  Mettre, quand il vous plaît, son feutre de travers,",إضبط، إذا بتريد، حاسس من الضرورة،
"  Pour un oui, pour un non, se battre,--ou faire un vers !",عالحن، عالحن، بقتال، أو بيعملوا حشرة!
"  Travailler sans souci de gloire ou de fortune,",عملك بلا إهتمام بالجلالة أو الغنائم
"  A tel voyage, auquel on pense, dans la lune !",رحلة كتير، بتفكر فيها، في القمر!
"  N'écrire jamais rien qui de soi ne sortît,",ما كتب شي ما يخرج من نفسك،
"  Et modeste d'ailleurs, se dire: mon petit,","و متواضع، بيقول: ""مصير،"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا، إمثالًا،
  Si c'est dans ton jardin à toi que tu les cueilles !,إذا كان في حديقتك بتحصلين على هيك.
"  Puis, s'il advient d'un peu triompher, par hasard,",إما إذا فاز شوية،
"  Ne pas être obligé d'en rien rendre à César,",إِنَّك مَا تُضْطَرِرْ بِشَيْء بِإِعْطَاء قَيْصَرْ.
"  Vis-à-vis de soi-même en garder le mérite,",عشان نفسك تبقي فيي
"  Bref, dédaignant d'être le lierre parasite,",بالصراحة، بإنكره كونك ليرس متطرد،
"  Lors même qu'on n'est pas le chêne ou le tilleul,",حتّى إذا ما كُننا الشجر أو الشجر،
"  Ne pas monter bien haut, peut-être, mais tout seul !",ما بتصعد عالية، بس بتصعد لوحدي!
LE BRET:,البريط:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو لو
  As-tu donc contracté la manie effroyable,إذاً إنت عمت المانيّة المروعة؟
"  De te faire toujours, partout, des ennemis ?",عمكنو عدوين في كل مكان؟
CYRANO:,كايرانو:
"  A force de vous voir vous faire des amis,",عشان شوفتم بتصنعوا صداقات،
"  Et rire à ces amis dont vous avez des foules,",وبتضحك على الأصدقاء اللي عندك جماعة،
  D'une bouche empruntée au derrière des poules !,من فم مستعير من خلف الدجاجات!
"  J'aime raréfier sur mes pas les saluts,",عاوزني أرفع هديتي و أقدمها
  Et m'écrie avec joie: un ennemi de plus !,و بيقول ليا بضخامة: عدو تاني!
LE BRET:,البريط:
  Quelle aberration !,شو غرابة!
CYRANO:,كايرانو:
"  Eh bien, oui, c'est mon vice.",إيه، إيه، هيدا إعتدادي.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,إني إحب إني يكرونني.
"  Mon cher, si tu savais comme l'on marche mieux",حبيبي، لو عرفت كيف بتشغيل أحسن
  Sous la pistolétade excitante des yeux !,تحت عيونك المثيرة!
"  Comme, sur les pourpoints, font d'amusantes taches",كيف، عالأحوال، بيعملوا كتير من المرح
  Le fiel des envieux et la bave des lâches !,عرق الحسود و عرق الخائف!
"  --Vous, la molle amitié dont vous vous entourez,",إمّا أنت، عدوة خفيفة بتحيطين بيك،
"  Ressemble à ces grands cols d'Italie, ajourés",شكلي هالنقرات الكبيرة من إيطاليا، تأجل
"  Et flottants, dans lesquels votre cou s'effémine:",وبتغرقوا، وبتخافوا عرقك.
"  On y est plus à l'aise. . .et de moins haute mine,",هيدا أسهل و أضعف أقدامنا
"  Car le front n'ayant pas de maintien ni de loi,",عشان الجبهة ما عِنْدَها حِفظ و مشروع.
"  S'abandonne à pencher dans tous les sens. Mais moi,",بتتخلع عن كل الإتجاهات.
"  La Haine, chaque jour, me tuyaute et m'apprête",كل يوم بيحبني ويحبني
  La fraise dont l'empois force à lever la tête;,البرازي اللي يضطرون بيعرفو رأسه
  Chaque ennemi de plus est un nouveau godron,كل عدو جديد هو جرو جديد
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",عَزَلْتْ عَلِي عَيْبًا وَزَادْتْ عَيْبًا.
"  Car, pareille en tous points à la fraise espagnole,",عشان، بيفكر في كل شي بالفراولة الإسبانية،
"  La Haine est un carcan, mais c'est une auréole !",الكراهية هيدا كركان، بس هيدا أورول!
"LE BRET (après un silence, passant son bras sous le sien):",الروح (بعد صمت، ويعمل ذراعها تحت ذراعها):
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",إضبطوا الكبري وكنوا مُرّين، وكنوا خاضعين
  Dis-moi tout simplement qu'elle ne t'aime pas !,إخبري بس مَا بتحبك!
CYRANO (vivement):,CYRANO (حيات):
  Tais-toi !,إخرس!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(مدى شوية، دخل كريستيان، وخلط مع الاطفال،
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ما كلمو، فجأو واعد وحده مع واحد
