Scène 2.VIII.,د دوهمې نيمې ډګر.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche",سیرانو، برټ، کوچنيان، چې په ښي او کیڼه کې ناست وو
et auxquels on sert à boire et à manger.,او هغوى ته خوړل کېږي او څښل کېږي.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,سیرا (د هغه چا سلام چې له کوره بهر نه ځي او د هغه سلام نه کوي):
  Messieurs. . .Messieurs. . .Messieurs. . .,ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغلي او ښاغ
"LE BRET (désolé, redescendant, les bras au ciel):",د (د افسوس، د ښکته، د لاسونو په آسمان کې):
  Ah ! dans quels jolis draps.,په دې ښکلي پوښونو کې.
CYRANO:,د دې لپاره چې تاسو د دې لپاره چمتو یاست.
  Oh ! toi ! tu vas grogner !,اوه ، تاسو به غږ وکړئ!
LE BRET:,د دې لپاره چې د دې په اړه څه ووايي:
"  Enfin, tu conviendras",په پای کې، تاسو به ښه وي
"  Qu'assassiner toujours la chance passagère,",چې تل د وخت په تیریدو سره د بریا په قتل کې وي
  Devient exagéré.,دا ډیر زیاتوي.
CYRANO:,د دې لپاره چې تاسو د دې لپاره چمتو یاست.
"  Hé bien oui, j'exagère !",ښه، زه ډیر زیات فکر کوم!
LE BRET (triomphant):,د بریالیتوب لپاره:
  Ah !,په دې اړه څه؟
CYRANO:,د دې لپاره چې تاسو د دې لپاره چمتو یاست.
"  Mais pour le principe, et pour l'exemple aussi,",خو د اصل او د مثال په توګه،
  Je trouve qu'il est bon d'exagérer ainsi.,زه فکر کوم چې دا ښه ده چې په دې ډول زیاتې خبرې وکړو.
LE BRET:,د دې لپاره چې د دې په اړه څه ووايي:
"  Si tu laissais un peu ton âme mousquetaire,",که تاسو خپل ځان د ځنګل په توګه وځنډوئ،
  La fortune et la gloire. . .,بډایه او شهرت . . .
CYRANO:,د دې لپاره چې تاسو د دې لپاره چمتو یاست.
  Et que faudrait-il faire ?,او څه باید وکړو؟
"  Chercher un protecteur puissant, prendre un patron,",د يو قوي ساتونکی په لټه کې شئ، د يو مشر په لټه کې شئ،
  Et comme un lierre obscur qui circonvient un tronc,او د تورو ټوټو په څېر چې د ټوټې په شاوخوا کې وي
"  Et s'en fait un tuteur en lui léchant l'écorce,",او د هغه د سر د پښو په څېر د هغه د سر د ساتونکي په توګه ګرځي.
  Grimper par ruse au lieu de s'élever par force ?,د زور په ځای په غلا کې پورته کول؟
"  Non, merci. Dédier, comme tous il le font,",نه، مننه، وقف کول، لکه څنګه چې هرڅوک کوي،
  Des vers aux financiers ? se changer en bouffon,د مالیې له ورونو څخه د غلو په توګه بدلیدل
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",په دې سپک تمه چې د يو وزير په زړونو کې به وګورم
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",په هرصورت، د مسکراهت په اړه څه شی؟
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",نه، مننه، هره ورځ د کدو ډوډۍ؟
  Avoir un ventre usé par la marche ? une peau,د تګ په واسطه د بدن د غوړ او پوټکي له منځه وړل
"  Qui plus vite, à l'endroit des genoux, devient sale ?",څوک چې د پښو په ځای کې تر ټولو ژر کثافات شي؟
  Exécuter des tours de souplesse dorsale ?. . .,د شا د لور د انعطاف وړو دورو ترسره کول؟ . . .
"  Non, merci. D'une main flatter la chèvre au cou",نه، مننه، د يو لاس سره د غوا په غاړه د ښکلا
"  Cependant que, de l'autre, on arrose le chou,",خو که د بلې خوا څخه د کلو اوبه اوبه اوبه شي،
"  Et, donneur de séné par désir de rhubarbe,",او د حرمو په لټه کې چې د حرمو په لټه کې وي،
"  Avoir son encensoir, toujours, dans quelque barbe ?",د هغه د څښاک څښاک په کوم ګرد کې لګول؟
"  Non, merci ! Se pousser de giron en giron,",نه، مننه، په ګرځنده توګه وده کول،
"  Devenir un petit grand homme dans un rond,",په یوه ګرد کې یو کوچنی لوی سړی شي،
"  Et naviguer, avec des madrigaux pour rames,",او د رګونو د درګاوو سره په بحر کې سفر کوي،
  Et dans ses voiles des soupirs de vieilles dames ?,او په هغه کې د زاړه میرمنو د ژړا ژړا؟
"  Non, merci ! Chez le bon éditeur de Sercy",نه، مننه، د سرسي د ښه خپرونکي سره.
"  Faire éditer ses vers en payant ? Non, merci !",د دې لپاره چې د هغې د ورونو د تحريک د تادیه کولو لپاره؟ نه، مننه!
  S'aller faire nommer pape par les conciles,د پاپ د نومولو لپاره د کونسلونو په لړ کې د ځان لپاره د انتخاباتو لپاره
  Que dans des cabarets tiennent des imbéciles ?,چې په کوټو کې احمقونه ساتل کېږي؟
"  Non, merci ! Travailler à se construire un nom",نه، مننه، د ځان لپاره د نوم جوړولو په اړه کار کول
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",د نورو په بدل کې د یوې سندرې په اړه؟
  Merci ! Ne découvrir du talent qu'aux mazettes ?,مننه، یوازې په غرونو کې د استعداد موندل؟
"  Être terrorisé par de vagues gazettes,",د ورځپاڼو له غږونو ډارل،
"  Et se dire sans cesse: Oh, pourvu que je sois","او په خپل ځان کې تل وایي: ""او، که زه"
  Dans les petits papiers du Mercure François ?. . .,د مرکور فرانسس په کوچني کاغذونو کې؟ . . .
"  Non, merci ! Calculer, avoir peur, être blême,",نه، مننه، حساب کول، ویره کول، د زړه له پاره،
"  Aimer mieux faire une visite qu'un poème,",د شعر په پرتله د لیدنې سره مینه کول غوره دي،
"  Rédiger des placets, se faire présenter ?",د ځان د معرفي کولو لپاره؟
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",نه، مننه، نه، مننه، نه، مننه، مګر... سندرې،
"  Rêver, rire, passer, être seul, être libre,",خوب کول، خندا کول، تېرول، یوازې پاتې کیدل، ازاد پاتې کیدل،
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",د ښه سترګو، د غږ د ټکان په اړه،
"  Mettre, quand il vous plaît, son feutre de travers,",کله چې تاسو غواړئ خپل احساس د غلطۍ،
"  Pour un oui, pour un non, se battre,--ou faire un vers !",د هو، نه، جګړه، یا د ورمیو لپاره!
"  Travailler sans souci de gloire ou de fortune,",د خپل ځان د شهرت او شتمنۍ په اړه فکر مه کوئ.
"  A tel voyage, auquel on pense, dans la lune !",په داسې سفر چې په دې فکر کې وي، چې په سپوږمۍ کې به وي!
"  N'écrire jamais rien qui de soi ne sortît,",هیڅکله داسې څه مه لیکئ چې له ځان نه راځي،
"  Et modeste d'ailleurs, se dire: mon petit,",او په خپل ځان کې د ځان د ځان د کمزوري احساس کولو لپاره:
"  Soit satisfait des fleurs, des fruits, même des feuilles,",د ګلونو، مېوو، حتی پاڼو سره هم راضي شي،
  Si c'est dans ton jardin à toi que tu les cueilles !,که تاسو په خپل باغ کې دا راټولئ!
"  Puis, s'il advient d'un peu triompher, par hasard,",او که هغه (الله) د (دغه) ځنګل په اندازه (دغه) ځنګل په اندازه (دغه) ځنګل په اندازه (دغه) ځنګل په اندازه (دغه) ځنګل په اندازه (دغه) ځنګل په اندازه (دغه) ځنګل په اندازه (دغه) ځنګل په اندازه (دغه) ځنګل په اندازه (دغه) ځنګل په اندازه (دغه) ځنګل په اندازه (دغه) ځنګل په اندازه (دغه) ځنګل په اندازه (دغه) ځنګل په اندازه (دغه) ځنګل په اندازه (دغه) ځنګل په اندازه (په اندازه (په اندازه) ځنګل په اندازه (په اندازه) ځنګل (په اندازه (په اندازه) ځنګ
"  Ne pas être obligé d'en rien rendre à César,",د قيصر د مرستې په اړه دې ته څه هم اړ نه وي.
"  Vis-à-vis de soi-même en garder le mérite,",د ځان په وړاندې د خپل ځان لپاره د خپل حق ساتل،
"  Bref, dédaignant d'être le lierre parasite,",په لنډه توګه، د دې څخه انکار کول چې د لیري د ناروغۍ،
"  Lors même qu'on n'est pas le chêne ou le tilleul,",که څه هم موږ د بلوط او د کرکټ نه یو،
"  Ne pas monter bien haut, peut-être, mais tout seul !",ښايي ډېر لوړ نه شي، خو یوازې!
LE BRET:,د دې لپاره چې د دې په اړه څه ووايي:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",که یوازې وي، خو د ټولو پر وړاندې نه!
  As-tu donc contracté la manie effroyable,ایا ته په دې (سرکار) کې له وحشت ډک جنون (جنون) سره مخ شوی یئ؟
"  De te faire toujours, partout, des ennemis ?",چې تل په هر ځای کې دښمنان جوړ کړي؟
CYRANO:,د دې لپاره چې تاسو د دې لپاره چمتو یاست.
"  A force de vous voir vous faire des amis,",ددې له امله چې تاسو له ځان سره ملګري جوړوئ،
"  Et rire à ces amis dont vous avez des foules,",او په هغو ملګرو خندا وکړئ چې تاسو یې په ډله کې لرئ،
  D'une bouche empruntée au derrière des poules !,د چرګانو په شاته د خولې په پوره کولو سره!
"  J'aime raréfier sur mes pas les saluts,",زه د سلامونو په اړه ډېر لږ خبري کوم.
  Et m'écrie avec joie: un ennemi de plus !,"او په خوښۍ سره راته ووايه: ""هغوی دښمن دی!"
LE BRET:,د دې لپاره چې د دې په اړه څه ووايي:
  Quelle aberration !,دا څومره بې رحمه خبره ده!
CYRANO:,د دې لپاره چې تاسو د دې لپاره چمتو یاست.
"  Eh bien, oui, c'est mon vice.",ښه، هو، دا زما د عادت دی.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,زه خوښ یم چې له ځانه ځم، خو زه خوښوم چې له خلکو سره نفرت وکړم.
"  Mon cher, si tu savais comme l'on marche mieux",ګران، که تاسو پوه شئ چې څنګه ښه ځي
  Sous la pistolétade excitante des yeux !,د سترګو په زړه پورې سترګو کې!
"  Comme, sur les pourpoints, font d'amusantes taches",لکه څنګه چې په ټکي کې د خوندونو د ساتیرۍ ټکي کوي
  Le fiel des envieux et la bave des lâches !,د حسد د خلکو غوسه او د بزګرانو غوسه!
"  --Vous, la molle amitié dont vous vous entourez,",تاسو، هغه نرم دوستي چې تاسو یې په کې ګرځئ،
"  Ressemble à ces grands cols d'Italie, ajourés",د ایټالیا د لویو ګولونو په څیر ښکاري ، ځنډول شوي
"  Et flottants, dans lesquels votre cou s'effémine:",او په هغو كې چې ستاسو غاړه په هغو كې ډوبېږي
"  On y est plus à l'aise. . .et de moins haute mine,",موږ په دې کې ډیر راحته یو. . . او د ټیټ قد،
"  Car le front n'ayant pas de maintien ni de loi,",ځکه چې د مخ په وړاندې د قانون او قانون نشته.
"  S'abandonne à pencher dans tous les sens. Mais moi,",په هر اړخ کې د ځنګل کولو هڅه کوي.
"  La Haine, chaque jour, me tuyaute et m'apprête",د نفرت هره ورځ زه په ټوټه او ټوټه کې یم
  La fraise dont l'empois force à lever la tête;,د سټرایز د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د
  Chaque ennemi de plus est un nouveau godron,هر بل دښمن نوې غنچه ده
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",هغه چې زما په غم کې ډېر دردمن او ډېر غمګین دی.
"  Car, pareille en tous points à la fraise espagnole,",ځکه چې په هر ډول د هسپانوي فرېس په څېر،
"  La Haine est un carcan, mais c'est une auréole !",د نفرت د څارویو په څېر دی، خو دا د نورېول په څېر دی!
"LE BRET (après un silence, passant son bras sous le sien):",د پښتو (د خاموشۍ وروسته، د خپل لاس لاندې د خپل تېرېدو):
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",د غرور او تلپاتې او لوړې کچې سره د ځان سره د ښکلا کولو هڅه وکړئ.
  Dis-moi tout simplement qu'elle ne t'aime pas !,یوازې ماته ووایاست چې هغه له تاسو سره مینه نه لري!
CYRANO (vivement):,CYRANO (په ژوند کې):
  Tais-toi !,خفه اوسئ!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(د یو څه وخت وروسته، کریسټین ورننوت، د ځوانانو سره ګډ شو؛ دا
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,د هغه سره خبرې نه کوي، په پای کې يې په يو تن کې ناست
