Scène 2.VIII.,Szene 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, młodzież, która usiadła na prawo i na lewe"
et auxquels on sert à boire et à manger.,"i są obsługiwane, aby jeść i pić."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"CYRANO (zdręcząc się z przyjemnością, pozdrawiając tych, którzy wychodzą bez odwagi pozdrowienia):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"Panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie!"
"LE BRET (désolé, redescendant, les bras au ciel):","W RED (poczucie, w dół, ramiona w niebo):"
  Ah ! dans quels jolis draps.,W jakich pięknych płaszczach.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Ty, będziesz gębał!"
LE BRET:,- Wyróżnia się.
"  Enfin, tu conviendras",W końcu się zgadzasz.
"  Qu'assassiner toujours la chance passagère,","Że zawsze zabijamy przejściowe szczęście,"
  Devient exagéré.,To jest przesada.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","- Tak, przesadzam."
LE BRET (triomphant):,WYCZYTAJĄCY:
  Ah !,"- Nie , nie ."
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ale w zasadzie, w przykładzie,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Myślę, że dobrze jest tak przesadzać."
LE BRET:,- Wyróżnia się.
"  Si tu laissais un peu ton âme mousquetaire,","Gdybyś trochę zostawił swoją duszę,"
  La fortune et la gloire. . .,Pieniądze i chwała.
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Co trzeba zrobić?
"  Chercher un protecteur puissant, prendre un patron,","Szukaj potężnego ochroniarza, bierz szefa,"
  Et comme un lierre obscur qui circonvient un tronc,"I jak ciemna liza, która otacza trzcinę"
"  Et s'en fait un tuteur en lui léchant l'écorce,","I staje się jego opiekunem, lizając jego skórę,"
  Grimper par ruse au lieu de s'élever par force ?,Wzniesienie się podstępnie zamiast podnieść się siłą?
"  Non, merci. Dédier, comme tous il le font,","Nie, dziękuję."
  Des vers aux financiers ? se changer en bouffon,"Od robaków do finansowych, zmieniają się w głupców."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","W niedorzecznej nadziei, że zobaczę, na ustach ministra,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","W końcu, w którymś z nich nie jest grzech?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","- Nie, dziękuję."
  Avoir un ventre usé par la marche ? une peau,"/Mieć żołądek uszkodzony /w drodze, /skórę"
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Kto najszybciej się brudnie odbija od kolan?
  Exécuter des tours de souplesse dorsale ?. . .,Czy można wykonywać ruchy pleców? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Nie, dzięki, z jednej dłoni, pochlebiać kozę w szyję"
"  Cependant que, de l'autre, on arrose le chou,","Jednakże, jeśli z drugiej, nawadniamy kapustę,"
"  Et, donneur de séné par désir de rhubarbe,","I który z żądą szczenieniaków,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Czy zawsze mieć swój zapalnik w jakimś bradzie?
"  Non, merci ! Se pousser de giron en giron,","Nie, dziękuję."
"  Devenir un petit grand homme dans un rond,","Stać się mały wielki człowiek w okrągu,"
"  Et naviguer, avec des madrigaux pour rames,","I żeglarstwo, z łodziami do łodzi,"
  Et dans ses voiles des soupirs de vieilles dames ?,A w jego żelazach jest wieśniak starego pani?
"  Non, merci ! Chez le bon éditeur de Sercy","Nie, dzięki, przy właściwym wydawcy Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",- Czy to jest edukacja za płatność?
  S'aller faire nommer pape par les conciles,Wystąpić na nominację papieża przez koncily
  Que dans des cabarets tiennent des imbéciles ?,Że w kabinach są głupcy?
"  Non, merci ! Travailler à se construire un nom","Nie, dzięki, pracuję nad budowaniem sobie imienia."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Na jednym sonnetie, zamiast tworzyć inne?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,- Nie można odkryć talentów tylko w łupkach?
"  Être terrorisé par de vagues gazettes,","Być przerażonym przez fale gazet,"
"  Et se dire sans cesse: Oh, pourvu que je sois","I ciągle sobie myślę: ""O, jeśli tylko będę"
  Dans les petits papiers du Mercure François ?. . .,W małych papierach Merkur Franciszek? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Nie, dziękuję, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie"
"  Aimer mieux faire une visite qu'un poème,","Lubię odwiedzić, niż poezję."
"  Rédiger des placets, se faire présenter ?","Napisać kartki, przedstawić się?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Nie, dziękuję, dziękuję, dziękuję, ale... śpiewaj,"
"  Rêver, rire, passer, être seul, être libre,","Marzyć, śmiać się, przechodzić, być sam, być wolnym,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Żeby mieć dobrze patrzące oko, drżący głos,"
"  Mettre, quand il vous plaît, son feutre de travers,","Kiedy chcesz, możesz się odwrócić."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Za ""tak"", za ""nie"", walczyć, albo zrobić robaka!"
"  Travailler sans souci de gloire ou de fortune,","Pracując bez dążenia do sławy i bogactwa,"
"  A tel voyage, auquel on pense, dans la lune !","W podróż do księżyca, o której my myślimy!"
"  N'écrire jamais rien qui de soi ne sortît,","Nigdy nie pisz niczego, co nie wychodzi z siebie,"
"  Et modeste d'ailleurs, se dire: mon petit,","I skromny, że mówi: ""Mój mały,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Zadowolony z kwiatów, owoców, nawet liści,"
  Si c'est dans ton jardin à toi que tu les cueilles !,"Jeśli to w swoim ogrodzie, to zbierzesz je."
"  Puis, s'il advient d'un peu triompher, par hasard,","A jeśli się okaże, że może się trochę wygrać,"
"  Ne pas être obligé d'en rien rendre à César,","Nie musisz oddawać żadnego pieniędzy cesarzowi,"
"  Vis-à-vis de soi-même en garder le mérite,","W stosunku do siebie zachować zasługę,"
"  Bref, dédaignant d'être le lierre parasite,","W sumie, nieważne, że jestem pasożytem,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Nawet jeśli nie jesteśmy okiem ani drzewem,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Może nie na wysokości, ale sama."
LE BRET:,- Wyróżnia się.
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Może sam, ale nie przeciwko wszystkim."
  As-tu donc contracté la manie effroyable,Czyżby ty dostałeś straszny manię?
"  De te faire toujours, partout, des ennemis ?",Czy zawsze robią sobie wszędzie wrogów?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Widząc, jak się zaprzyjaźniacie,"
"  Et rire à ces amis dont vous avez des foules,","I śmiejesz się z tych przyjaciół, których masz w tłumie,"
  D'une bouche empruntée au derrière des poules !,Z wyciągniętym z tyłu kurczaka ustem!
"  J'aime raréfier sur mes pas les saluts,","Uwielbiam rzadko przywitać na moich stopach,"
  Et m'écrie avec joie: un ennemi de plus !,"I krzycz mi z radością: ""Nad nami jeszcze jeden wróg!"""
LE BRET:,- Wyróżnia się.
  Quelle aberration !,Co za aberracja!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Tak, to moja wina."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Ucieszy mnie wyjeżdżanie, lubię być nienawidzony."
"  Mon cher, si tu savais comme l'on marche mieux","Kochanie, gdybyś wiedział, jak lepiej chodzić"
  Sous la pistolétade excitante des yeux !,Pod tym ekscytującym wzrokiem!
"  Comme, sur les pourpoints, font d'amusantes taches","Jak na punktach, robią zabawne plamy"
  Le fiel des envieux et la bave des lâches !,"Żółtacy żółtają, a tchórze żółtają."
"  --Vous, la molle amitié dont vous vous entourez,","- Ty, miła przyjaźń, którą otaczacie,"
"  Ressemble à ces grands cols d'Italie, ajourés","Wygląda jak te wielkie włoskie kołnierze, odroczone"
"  Et flottants, dans lesquels votre cou s'effémine:","I płynących, w których twój szyi się wystrasza:"
"  On y est plus à l'aise. . .et de moins haute mine,",Jest to bardziej wygodne.
"  Car le front n'ayant pas de maintien ni de loi,","Bo czoła nie ma prawa i prawa,"
"  S'abandonne à pencher dans tous les sens. Mais moi,","Nie ma żadnych wątpliwości, ale ja..."
"  La Haine, chaque jour, me tuyaute et m'apprête",Nienawiść każdego dnia mnie przepycha i przyprawia.
  La fraise dont l'empois force à lever la tête;,"Strawia, której trucizna zmusza do podniesienia głowy;"
  Chaque ennemi de plus est un nouveau godron,Każdy kolejny wróg jest nowym łajdkiem.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","A On dodał mi gorsza, i dodał mi rozpaczy."
"  Car, pareille en tous points à la fraise espagnole,","Bo jak w każdym razie, jak w hiszpańskiej fryzurze,"
"  La Haine est un carcan, mais c'est une auréole !","Nienawiść jest jak szczura, ale to jest aurel!"
"LE BRET (après un silence, passant son bras sous le sien):","BREET (po milczeniu, przechodząc ramię pod własną):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Wzniosć się w pychę i gorzkie, ale w dół"
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Powiedz mi, że cię nie kocha!"
CYRANO (vivement):,CYRANO (żywa):
  Tais-toi !,- Zamknij się!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Od chwili, Christian wszedł, wmieszał się z młodymi,"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"Nie rozmawiają z nim, a w końcu usiadł sam w jednej"
